CAPA ID;Title;Due Date;Deadline for effectiveness check;Assigned To;Pending Steps;Completed On;Category of Corrective Action;Priority;Action taken;Expected results of Action;Action plan;Description;Proposed responsible
261;"Label the power sockets connected to UPS in the lab";31/12/2024;03/04/2026;Jim Eero Lamppu;"CAPA Effectiveness Evaluation";;System /process;Normal;Action performed;"6 and 12 months after execution of this CAPA, perform a check of all critical instruments and ensure they are connected to labelled UPS outlets.";"The power sockets connected to backup power supply (UPS) will be labelled. This will ensure that critical instruments like ASM are provided with backup power supply, when needed. ";"All critical instruments are running on UPS power. UPS powered sockets are labled. 21.OCT.2025 JEL";
260;"Create a training module for purification of test productions";31/03/2025;30/06/2026;Gudrun Richstad;"CAPA Effectiveness Evaluation";;Other;Normal;Action performed;"NA";"Create a training module for purification of test productions after SOP0005 has been optimized (capa236).";;
259;"Re-training of production team in ensuring harvesting of all CL1000 flasks";28/03/2025;30/07/2025;Nina Granum;"CAPA Effectiveness Evaluation";;Personnel;High;Action performed;"6 months after completion of this capa, interview 2 operators on how to ensure harvesting of flasks within timelimit. If both operators are able to describe the process such as through both weekly plan (marking of harvest and check), and communication (daily discussions and lab meeting) this capa is considered effective";"Re-training of production operators on how to ensure all flasks have been harvested within correct time. both via weekly plan (marking of which flasks have been harvested and proper check) and through communication (daily communication, and weekly lab meeting)";;
255;"Update SOP5013 procedure for maintenance of UPS system";30/04/2025;;Jim Eero Lamppu;;06/02/2025 12:55 PM;System /process;Normal;Action performed;"NA";"There is no procedure for regular check/maintenance of  UPS. The UPS are connected to several critical instruments and it is important that they function as they should. These devices are connected as a limited backup-power supply in case of power outage or maintenance of voltage provided to the instruments.    The UPSs do not require service, but they require an annual maintenance check to ensure the battery capability. Superuser/backup for the UPS system has responsibility of ensuring that annual test is done and record results in the respective control sheet. UPS test will be followed up in Bizzmine equipment tracker. Updating the Bizzmine tracker is followed up in CAPA 262.Further maintenance instructions is included in an updated procedure of SOP5013 Infrastructure, v03.";;
254;"Initiate supplier complaint for TFS regarding IsoTyping kit";25/12/2024;;Joakim Sørgård;;08/01/2025 10:49 AM;Material;Low;Action performed;"NA";"Open supplier complaint to Thermo Fisher for the ineffectiveness of the Pierce Isotyping Kit based on the testing performed in DEV166. The CAPA should be closed when complaint is registered.";;
253;"Update SOP0042 to include how to ensure that all flasks have been harvested";21/03/2025;26/09/2025;Joakim Sørgård;"CAPA Effectiveness Evaluation";;Documentation (SOP etc.);High;Action performed;"3 months after completion of CAPA, review completed weekly CL1000 overview list to ensure documentation of harvesting of all flasks. If there are no flask not harvested during this time (also confirmed by no new NCs for forgotten harvesting), this capa can be closed and weekly list does not have to be saved in the future.";"Update SOP0042 to include instructions on documenting which flasks are harvested in the weekly plan.  Train operators to use the weekly plan, and save the completed weekly plan until CAPA effectiveness has been completed.";;
252;"Update start and shut-down procedure of sirius monitored equipment in SOP4032";31/08/2025;30/11/2026;Jim Eero Lamppu;"CAPA Effectiveness Evaluation";;Documentation (SOP etc.);Normal;Action performed;"12 months after CAPA has been executed, at least 95% of trend review has been performed on-time.";"Update start and shut-down procedure of sirius monitored equipment in SOP4032.  The procedure should outline:  - Make sure calibration is valid, if not perform calibration of sensors. - Make sure trend review has been performed before equipment is used.  - Update maintenance list with new calibration/trend review and maintenance dates.";;
251;"Correct errors and update information in Equipment maintenance list";10/11/2024;;Gudrun Richstad;;12/09/2024 10:24 AM;Other;Normal;;"Less than 2 new non-conformances raised concerning performance of trend review within the specified time period after half a year from CAPA excecution. ";"Correct errors and update information in Equipment maintenance list. This includes: - Update to new SOP numbers. - Status of inactive equipment.";;
250;"Order and implement a scrip for generating critical ID numbers";31/12/2024;06/02/2026;Anniken Liljeberg;"CAPA Effectiveness Evaluation";;System /process;Normal;Action performed;"ID numbers controlled 6 months and 12 months after implementation of script for generation of ID numbers. If no ID numbers are missing from the collections with the script for generation of ID numbers implemented, the corrective action is considered successful. ";"Order script for generating ID numbers for the critical records from the supplier: Non-conformance, CAPA, change control and change actions.  Implement the script and new ID numbers in each collection.   ";"11.08.2025 JSS: No ID numbers are missing from the collections with the script 6 months after implementation. ";
249;"Segragate quarentine storage area from "ready to use" areas";23/10/2024;01/07/2025;Gudrun Richstad;"CAPA Effectiveness Evaluation";;Equipment / premises;High;Action performed;"9 months after completion of CAPA, the grean-zone will be inspected twice.  CAPA will be considered effective if no quarantined material will be located within "ready to use" storage areas";"Segregate quarantine storage areas from “ready-to-use” storage areas. Update relevant procedures related to material storage";;
248;"Implement the use of ERP system to identify and handle expired materials";23/10/2024;01/07/2025;Gudrun Richstad;"CAPA Effectiveness Evaluation";;Documentation (SOP etc.);High;Action performed;"Six and nine months after the CAPA is executed, the warehouse will be inspected. The CAPA will be considered effective if no expired products are found during the inspection.";"Implement the use of ERP system to identify and handle expired materials. Update SOP7002 to include instructions on routine check of expiry dates, and set the ERP system up to send out emails at least every week regarding expired materials to the Logistics email address.";;
247;"Update SOP5010 with clearer instructions on check of expired materials .";23/10/2024;01/07/2025;Gudrun Richstad;"CAPA Effectiveness Evaluation";;Documentation (SOP etc.);High;Action performed;"Six and nine months after the CAPA is executed, the warehouse will be inspected. The CAPA will be considered effective if no expired products are found during the inspection.";"Update SOP5010 to include a weekly check of expiry dates within the ERP system. Furthermore, strengthening the routine for manual checks by making a monthly spot check a requirement, and instructions on documenting the activity.";;
246;"Ensure routine tasks are delegated and performed within Logistics department";23/10/2024;01/07/2025;Gudrun Richstad;"CAPA Effectiveness Evaluation";;System /process;High;Action performed;"Six and nine months after the CAPA is executed, the warehouse will be inspected. The CAPA will be considered effective if no expired products are found during the inspection.";"Delegate the responsibility for checking materials to at least two specific employees with logistics responsibilities, as outlined in their job descriptions.  Implement a tool for tracking routine tasks within Logistics";;
245;"Update SOP5043 Equipment with information on how to handle equipment certification/calibration information";23/09/2024;29/06/2025;Jim Eero Lamppu;;01/07/2025 01:10 AM;Documentation (SOP etc.);Normal;Action performed;"After 6 and 9 months after implementation of CAPA execution we conduct an evaluation. For each timepoint, check three random instuments within the system, for calibration documentation. Five of six inspected calibration documents needs to be up-to-date and correctly displayed in tracker.";"Update SOP5043 Equipment with information on how to handle equipment certification/calibration information. Instruction should be clear and cover new equipment like recalibration documentation for already used equipment.";"For the 6 months check numbers DIA401, DIA167 and DIA354 where randomly chosen. All calibration documents were in order and scanned, available in Bizzmine. With one exception: DIA401 - the calibration was registered with correct date but the calibration document was missing in Bizzmine. It was found in the physical folder FEU-018 and have been scanned into Bizzmine. For the 9 months check numbers DIA226, DIA114 and DIA358 where randomly chosen. All calibration documents were in order and scanned, available in Bizzmine. The required amount of instruments passed the effectiveness evaluation. CAPA can be closed.";
244;"Update SOP4004 with instructions on how the temperature sensor should be verified";26/09/2024;;Jim Eero Lamppu;;26/09/2024 03:46 PM;Documentation (SOP etc.);Normal;Action performed;"NA";"Update SOP4004 with instructions on how the temperature sensor should be verified (internally validated) and how this activity should be documented.  ";;
243;"Establish a system for maintaining instrument qualification and calibration documentation.";26/09/2024;30/06/2025;Jim Eero Lamppu;;01/07/2025 12:06 AM;System /process;Normal;Action performed;"After 6 and 9 months of implementation of CAPA execution, we conduct an evaluation. For each time point, check three random instruments for calibration documentation. All inspected calibration documents need to be up-to-date and correctly displayed in the tracker.";"Establish a system for maintaining instrument qualification and calibration documentation.  The system must provide a clear overview of equipment calibration status and direction of calibration/qualification documentation. ";"For the 6 months check numbers DIA401, DIA167 and DIA354 where randomly chosen. All calibration documents were in order and scanned, available in Bizzmine. With one exception: DIA401 - the calibration was registered with correct date but the calibration document was missing in Bizzmine. It was found in the physical folder FEU-018 and have been scanned into Bizzmine. For the 9 months check numbers DIA226, DIA114 and DIA358 where randomly chosen. All calibration documents were in order and scanned, available in Bizzmine. The required amount of instruments passed the effectiveness evaluation. CAPA can be closed.";
242;"Establish a system for managing and tracking Qualification / Validation activities";17/10/2024;02/11/2025;Anna Huk;"CAPA Effectiveness Evaluation";;System /process;High;Action performed;"The tracker will be inspected three times, 6, 9 and 12 months after implementation. The status of the activities logged in the tracker will be compared with the current (real) status for 5 randomly selected instances. Instances selected for inspection will picked randomly, but at least one picked must be initiated before tracker implementation and one initiated after implementation. The tracker will be considered as correct if 14 out 15 inspected qualification activities' status in the tracker is correct and up to date.";"Establish a system for managing Qualification / Validation activities. The system should provide clear overseas of the type of conducted activities and their current status (such as ongoing, finalised, etc.)";;
241;"Ensure that sufficient resources are available in the Quality department for the authorization of qualification and validation documents";17/10/2024;31/07/2025;Anna Huk;"CAPA Effectiveness Evaluation";;Other;High;Action performed;"QA Manager will inspect documentation of all qualification/validation activities in 9 months after CAPA is executed. The CAPA will be considered effective if all inspected documents are approved and signed correctly. Documents to be inspected: URS, protocol, reports, amendments.";"Ensure that sufficient resources are available in the Quality department for the authorization of qualification and validation documents. Two additional QA personnel will be trained in qualification and validation activity management.";;
240;"Re-training of production engineers involved in downstream processing, on description on buffer composition.";31/01/2025;;Gudrun Richstad;;02/06/2025 12:13 PM;Other;Normal;Action not performed;"6 months after capa has been completed, interview at least two personnel trained in Dialysis and how they ensure correct buffer compsition. Within the same timeperiod, review that there are no new conformances regarding wrong final buffer due to lack of awareness.";"  Retrain all personnel trained in dialysis, on how and when to check the buffer compostion before performing dialysis.";;
239;"Troubleshoot and correct CO2 issue in DIA156";27/09/2024;03/03/2025;Suyog Basnet;;07/01/2025 01:09 PM;Equipment / premises;Normal;Action performed;"No similar trend in the next trend review performed 3 months after CAPA execution. ";"Perform test as suggested by service supplier along with any possible additional tests needed to find root cause of the non-conformance (Ref. "Mail.pdf"). Perform service on DIA156 from service personnel, if needed. ";"A non-conformance is registered with high %CO2 in the incubator (Ref NC365). However, the problem was solved by decreasing the set-point from 5.0% to 4.0%. Apart from this NC, no other issues is observed in the instrument as observed in the trend review (Ref. Trend review.pdf), so the non-conformance is not considered related to the instrument. Thus, the service performed as CAPA239 is considered effective.    ";
