Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
11;"In process ELISA ON EO1 B8124-29 not reactive";;;Elias Veidal;Completed;10/02/2022 03:55 PM;Elias Veidal;;22/04/2022 12:56 PM;"The analysis is performed purely for planning purposes and is not used for QC of the product. The analysis is also performed in advance, so the results can be repeated and are not critical for planning. The impact is therefor considered low to none.";;;;;;;;True
12;"Expired Protein standard for SDS-PAGE";;;Suyog Basnet;Completed;18/02/2022 03:37 PM;Suyog Basnet;;10/03/2022 03:23 PM;"No impact on product or product quality since the gel was discarded. New gel was ran again shortly after the non-conformance was discovered with new lot of Precision Plus Standard solution. The standard expired on 13.FEB.2022 and was discovered on 18.FEB.2022. No any SDS-PAGE was performed between 24.JAN.2022 (SDS585) and 18.FEB.2022 (SDS585 and SDS586) so there was no impact of the expired protein standard on any other SDS-PAGE performed.    ";;;;;;;;True
13;"Cloudy EC medium";;;Ida Myhrvold;Completed;24/02/2022 09:58 AM;Ida Myhrvold;;27/04/2022 10:59 AM;"The cells in harvest medium will be transported back into BRX together with harvest medium as the pump continue feeding the BRX with medium, but due to low temperature in harvest medium bottle (stored in refrigerator), the number of cells will not expand and the risk of clogging the system is low. Harvest medium bottle was replacement the day before. The harvest medium is expensive, and it was decided not to replace the bottle.  ";;;;;;;;
14;"Temperature below lower limit on fridge in clean room";;;Suyog Basnet;Completed;24/02/2022 04:21 PM;Suyog Basnet;;11/03/2022 03:17 PM;"The refrigerator is not used to store product but only media used for cell culture and CL1000. After the discovery of non-conformance, the media in the refrigerator were visually checked. There were not any freezing of medium or the TSA plates. It was thus considered to have no effect on the media.  ";;;;;;;;
21;"Wrong version of template for Certificate of Analysis (doc 5011.2) was used";;;;Completed;07/03/2022 11:16 AM;Mira Børstad;;14/03/2022 09:34 AM;"NA";"Most likely root cause: a combination of human error and transfer to a new QMS system.";"Template on F drive (used) and in Bizzmine (valid version) had the same information expect version number and SOP references according to new SOP numbering system. No impact to product quality or production processes. ";"Most likely root cause: a combination of human error and transfer to a new QMS system.";;;;;
22;"Supplier Questionnaire from Abbott 2021 was not answered";;;;Completed;09/03/2022 07:55 AM;Anna Huk;;20/04/2022 01:20 PM;;;;;;;;;
23;"MCB1, Freeze054: Froze 6 vials with 3D8-1 cells instead of 18vials";;;Gro Stokke;Completed;09/03/2022 02:57 PM;Gro Stokke;;29/03/2022 08:20 AM;"No";"The PS is for two products.";"The MCB from FREEZE054 contains too few vials. A MCB has to contain vials from the same FREEZE.  The customer would not get what they ordered. The vial from FREEZE054 will be discarded. The new MCB from FREEZE055 is OK.";"Two products in one PS";;;True;True;
24;"Yearly calibration of Sirius sensors overdue";;;Øyvind Røe;Completed;10/03/2022 02:22 PM;Øyvind Røe;;28/06/2023 03:53 PM;"NA";"Confusion around which sensors had to be calibrated due to etiquette labeling.  Maintenance list not followed or correctly updated. Training delayed due to illness.  ";"Several CL1000 units and cell culture were stored in the CO2 incubators affected by this non conformance.  Late calibration have no product impact. No failure on actual equipment was observed and calibration values differs very little from year to year. For equipments that were calibrated twice, the first calibration is the valid one (implemented limits in the sirius system). Paper document of the second calibration is stored in instrument folder.  ";"Calibration operator did not select the correct equipment to check within due date. Date is supposed to be checke on "Oversikt vasking og utstyr - Fornebu 2nd floor" (Location: F:\FORNEBU\Rutiner\Vask og veldikehold). It is not clear whether the operator did check the list or if he misinterpret it. Operator don't remember. It is also possible that the operator updating the spreadsheet incorrectly filled it. The labels on loggers indicating date of calibration, displayed the calibration date and not due date, this was misunderstood (should be both).";;;;;
25;"Aseptic validation operation A-B-C: Evaluation of plates and containers done without incubation";;;Elias Veidal;Completed;11/03/2022 10:29 AM;Elias Veidal;;08/04/2022 01:29 PM;"NA";"TNG performed tasks that require validation, without one.";"The tasks performed are primitive and easy to perform without error. TNG have twenty years of experience with aseptic work and had at the time of deviation passed two out of three rounds of validation. The tasks performed was also supervised by trained and validated operators to ensure that they where performed correctly. Hence, this deviation is assessed to be low risk of impact on product. The container was incubated according to SOP1076 AT 30-35 degrees C, and any fungi would most likely also be detected even though the incubation at 20-25 degrees C was skipped.";"Miscommunication between operators. The time for when TSA-plates was incubated was not checked. Operator in question is fairly new and not yet experienced.";;;;;True
26;"Temperature out of range- DIA067";;;Suyog Basnet;Completed;11/03/2022 03:27 PM;Suyog Basnet;;24/10/2024 03:31 PM;"No impact on other systems, processes or bathces";"The door was opened several times during stock counting. The operator who performed stock count was not aware that the temperature was exceed its limit. ";"It is difficult to predict the impact of temperature on individual product since every antibody differ in sensitivity to temperature. The maximum temperature reached during the period was -17.10°C which is above temperature limit with <1°C according to SOP and <3°C according to CoA. We have different temperature threshold required for storage of products according to Certificate of Analysis (CoA) and protocol (SOP4045), which make difficult to fully assess how much temperature was off from defined limit. The high alarm threshold set for freezer (DIA067) is -20.90 °C in the sirius monitoring system. According to CoA and protocol (SOP4045), the products should be stored below -20°C and -18°C respectively.     The duration with alarm was less than 2 hours. Since the temperature above threshold was not significantly high and the product were still frozen after counting, the non-conformance is deemed to have little impact on the product quality. ";"The door of the freezer was opened several times without considering the temperature in freezer.  The operate was not aware that temperature was exceed during stock count.";;;;;
27;"Cells observed in IC chamber maximizer";;;Ida Myhrvold;Completed;22/03/2022 08:15 AM;Ida Myhrvold;;08/07/2022 03:48 PM;"NA";"Cells should only be present in IC chamber /circuits. Cells present in IC chamber/circuit indicate either open EC FLUSH IN CLAMP or damage hollow fibers in BRX. EC FLUSH IN CLAMP is confirmed closed, and it is concluded that the hollow fibers are damaged. The supplier complaint was initiated, refer to SCR_068 for further handling).";"ELISA measurement from 21.Jan.2022 was 0,25 mg/ml. which confirms the loss of antibodies. Production was terminated. The product quality was not affected as no infection was detected in sampled medium taken out from IC port. The Quality Control was performed for the final product, and all criteria were met.   ";"Damage in hollow fibers in BRX during the manufacturing process.";;;;;
28;"High CO2 alarm in incubator (DIA156 and DIA025)";;;Suyog Basnet;Completed;23/03/2022 09:45 AM;Gro Stokke;;28/06/2023 03:47 PM;"NA";"When the incubators (DIA025 and DIA156) are low in CO2 (for eg. by opening door) and loaded with many CL1000 flasks with new medium, they have tendency to raise CO2 above set point. The problem was solved either by opening door of the incubator or performing auto-zero. It can be some problem in the CO2 sensor which is supposed to prevent CO2 from going above set point.  ";"Cell culture medium (RPMI1640 and Hybridoma SFM) can maintain physiological pH at the range of 5-10% CO2. Thus the incident has no impact on cells since CO2 level was not very high.   ";"The incubators sensor failure.";;;;;
29;"Cell line ABS 014-22 from Bioporto  was positive on Mycoplasma test";;;Gro Stokke;Completed;06/04/2022 02:55 PM;Gro Stokke;;23/07/2025 10:51 AM;"";"The cell line ABS 014-22, project 2022-16 was infected before arrival at Diatec.";"No product have been produced from infected cell line. In addition, all other cell lines in the same incubator were discarded to avoid culturing infection.  The new production will be started when a new cell will be recived and test negatrive for mycoplsma. The customer will send a new  non infected ampoule of the cell line ABS 014-22. The cell line will be cultured in quarantine incubator and mycoplasma tested after 7 days. The second ampoule from the other cell lines will be thawed at almost the same date as ABS 014-22. Aim to culture all the cell lines in parallels.";"The cell line ABS 014-22 were infected before arrival at Diatec. In addition the SOP 1070  was not clear on how to handle the cell culture which was stored with infected flask.  The infected flasks were transferred first into the clean room, as there is no procedure for this type of scenario, as mycoplasma infection is rarely detected in the production. Moreover, more than one cell line is rarely received from the customer at this same time. The production team highlighted that there is no straightforward procedure for what should be done with cells line stored together with infected cell lines within this same incubator. Even if the risk of cross-contamination between the flasks is considered very low, a proper routine for this kind of scenario should be established. ";;;True;;
30;"B8194, CO6F8F/2/1 One of the samples was contaminated on the SDS QC gel";;;;Completed;07/04/2022 12:31 PM;Gro Stokke;;22/04/2022 01:16 PM;;;;;;;;;True
31;"QC SAH duplicates not comparable B8192 (1A12/1/4) and B8193 (UCUS99.05)";;;;Completed;20/04/2022 02:16 PM;Ida Myhrvold;;13/06/2022 01:35 PM;;;;;;;;;True
32;"Project 2022-01 EO1: wrong SOP references and IEF listed in QC section";;;Marthe Heldal;Completed;25/04/2022 07:51 AM;Marthe Heldal;;02/12/2024 04:21 PM;"No impact to other batches, the previous batch produced was in 2020 prior to termination of IEF.  New document ID for procedures was implemented in 2021. ";"Conclusion investigation:  - IEF method added to PS because it was listed as one of the QC methods in Purchase agreement - Wrong SOP reference was added due to human error ";"IEF method is terminated and is no longer available at Diatec. Customer is informed of this change in May 2020 as part of CMR198 implementation. No impact to product quality.    It is no valid SOP1080 in the QMS system in the period of running project 2022-01 so it is no risk that the wrong procedure has been used. Operator has used the correct SOP for purificaiton of B8209 and B8210 (final batch B8211) and it is documented in Doc0080.  No impact to product quality ";"Root cause idenfifed:  - IEF method added to PS because it was listed as one of the QC methods in Purchase agreement. Root cause identified: documentaition - Wrong SOP reference was added due to incorrect typing. Root cause identified: human error.";;;;;
33;"Monthly cleaning analyse lab one day delayed";;;;Completed;25/04/2022 02:19 PM;Ida Myhrvold;;12/07/2023 04:38 PM;;;;;;;;;
34;"Leakage from the RO-water tank";;;Øyvind Røe;Completed;28/04/2022 08:36 AM;Johanna Lindskog Frydendal;;22/06/2022 10:47 AM;;"The leakage was caused by weekend tubing in the water purification system.";"The RO-water supply worked fine directly after stop of leakage. Elevated controls values could not be observed on environment monitoring. The cold room floor is completely sealed, no potential of damage of cold room interior. However there is still a possibility that water could remain underneath cold room, even if it is already checked. But this may be visible from results from future environment monitoring. No product was affected.";"Breakage of tubing and service technician probably did not see weakness on tubing.";;;;;
35;"Purification column loaded with1500 mL instead of 800 mL for batch B8214, clone MY-11";;;Thu Thi Nguyen;Completed;28/04/2022 08:04 AM;Gro Stokke;;03/01/2024 06:39 PM;"This deviation had an impact on the company's reputation and finance. The new production was started at the Customer's request. The Customer currently purchased approximately 25% of the batch B8214 and is not sure at this point if the rest of this batch will be sold. The Customer offered to accept some of the vials with batch B8214 until a new batch, will be produced.";" The customer had additional requirements for the purification process which differs from most usual runs defined in the SOP. Requirments were included in the Product Specification however operator forgot to check the Product Specification for additional information. ";"Incorrect load volume did not impact product quality. The Customer performed testing of the antibodies on their site and the batch in question fullied their acceptance criteria.  The Quality Control of the final batch was performed at Diatec using BIORAD Stainfree SDS method. Determined product purity was well within defined product specification criteria (see attachment SDS610 for reference).";"The operator forgot to check if additional information for the purification process was included in the Product SPecification or Control Plan. During this time the workload in production was very heavy and the Operator followed only Standard Procedures for this operation.";;;;;
36;"Sirius logger stopped transmitting data to DIA245 refrigerator";;;Ida Myhrvold;Completed;03/05/2022 11:22 AM;Ida Myhrvold;;18/06/2024 04:18 PM;"NA";"The dropped visible on the temperature chart was caused by a loss of signal from the temperature logger. The destruction in signal transmission was related to sensor malfunction. ";"The drop in temperature was probably only a lack of the signal, and not actually a change in temperature. This is indicated by the short time used for temperature drop and recovery. The stop in transmission happened on Sunday evening. The refrigerator is in use every Monday by the operators, who will be spotted if the inventor would have been frozen. Therefore, the incident doesn't have an impact on product quality.";"The true reason can not be defined at this point. The supplier was contacted and pointed out the low battery could be the reason for stopping in data transmission. However, the fact that the sensor started to transmit a signal after 34 hours without any restarts or change of battery contradicts this explanation. This has happened before, ref NC_8, and the root cause was not defined for that NC. Currently, we can not define the root cause to be the incidence. CAPA will be initiated to search for a notification system for superusers. The super user will explore if it is possible to set up the alarm notification to alert the user when the sensor stops transmitting the signal. The same notification system is already created for temperature, CO2, and battery status. What is more, an individual DIA number was assigned to each of the loggers to improve tracking of instrument underperformance.";;;;;
37;"Control batch for Tc3C4 used in SDS582 was not an approved batch";;;Marthe Heldal;Completed;03/05/2022 04:29 PM;Marthe Heldal;;12/07/2023 04:41 PM;"NA";"There is no robust system for how to handle QC samples.  Information of approved and not approved (rejected) batches are not easily found.  ";"No impact to B8115 Tc3C4, batch was re-analysed 17.JAN.2022 and saved as SDS583. B8049 was used as control batch. ";"Not robust system for how to handle QC samples and overview of approved/rejected batches lacking. ";;;;;True
38;"Pipettes DIA241, DIA124 and DIA126 failed "As found" on 6 months service control";;;;Completed;05/05/2022 01:13 PM;Gro Stokke;;23/06/2022 10:46 AM;;;;;;;;;
39;"Mix-up of shipments to Exbio and Radiometer";;;Mira Børstad;Completed;06/05/2022 08:30 AM;Mira Børstad;;24/06/2025 08:52 PM;"This incident might hurt our reputation with the customer ";"Two shipments for Exbio and Radiometer were picked up by Atlas the 2nd of May.  The boxes were marked with customer name, when departing Diatec facility. When Atlas prepared the boxes for pick-up by courier at their location,  they mixed up the two boxes, and re-labeled with the wrong customer name. This led to the product intended for Exbio, was sent to Radiometers facility in Finland and the product intended for Radiometer, was sent to Exbio.";"09.05.22 MIB:  Batch B8179 was shipped cool and received by Radiometer on the 4th of May. Radiometer asked if they should restock with cool elements before returning, but it was decided by Diatec to return the shipment as is with minimal interference.  Atlas received the return package at Friday the 6th of may at 11 o’clok. The material was then placed cool and delivered to Diatec on Monday the 9th of May. It was decided to discard the product as we have no control over the temperature after the product left Radiometer. It was discussed to re-run QC and offer the product at a discounted price, but since  we have extra material produced it was decided that the cost and risk is less by discarding the product. New product has been shipped to the customer.  Batch B8214 was shipped cool and recieved by Exbio on the 4th of May. Exbio confirms that the product has been stored cool since. The batch is for Radiometer to test in their assay. When batch is returned it will be re-sent to Radiometer for testing. ";"Human error at our freight forwarder Atlas, they did not properly chek the labeling on the box";;;;;
40;"Medium-cap tube was connected to inlet in preparation of autoclaving";;;Elias Veidal;Completed;06/05/2022 12:54 PM;Elias Veidal;;08/01/2024 08:08 PM;"NA";"Both air in the machine and turning down harvest and F3 pumps can have caused the clogging of EC-chamber. It can not be deduced which is the causing factor.";"The flow path has not lost its sterility and is of no risk to contamination. The runs output could have been affected by this non conformity. ";"Wrong assembly of medium cap before autoclaving.";;;;;
41;"Leakage from outflow tubing during pre-inoculation phase in DIA029";;;;Completed;10/05/2022 11:23 AM;Elias Veidal;;08/06/2022 01:16 PM;;;;;;;;;
42;"Customer Audit - BioPorto: Supplier monitoring program was not followed up";;;Anna Huk;Completed;12/05/2022 09:03 AM;Anna Huk;;18/06/2024 03:21 PM;"The internal procedure was not followed.";"The established routine for supplier qualification is not well defined or not well documented. The current system, which is excels based, does not provide a clear overview and timeline for supplier re-qualification. ";"This non-conformity has to impact product quality. All supplier raw materials ongoing incoming material control before being used in production, therefore the risk of using material from an unqualified supplier is very low.";"Lack of robustness instruction on how to maintain and follow Supplier Qualification Program. ";;;;;
43;"Customer Audit - BioPorto, The SOP5029 does not define frequency of the internal audit program";;;Anna Huk;Completed;12/05/2022 09:40 AM;Anna Huk;;16/07/2024 05:17 PM;"No";"The current SOP is not in compliance with ISO9001:2015 norm.";"The lack of compliance in this area has no direct impact on product quality ";"The current procedure SOP5029 Audit doesn't provide clear instruction on the internal audit frequency. ";;;;;
44;"Clamping error of flowpath before fill flush (1A12/1/4- B8256)";;;Elias Veidal;Completed;30/05/2022 03:46 PM;Suyog Basnet;;23/07/2025 10:49 AM;"NA";"Clamping error and operator performed the procedure alone, when it is recommended with two people. The error was corrected, flushed with medium overnight and cleared for use.";"The flow path is scheduled to be inoculated in week 25, so the deviation caused no delay in production. This is also more than enough time to flush the bioreactors. Since this NC is that of a pre-inoculation procedure, this deviation has no impact on the product. The deviation could however be a critical error if it occurred a different place in the flow path. The procedure is to complicated to be performed alone and needs to be updated.";"SOP0060 is a large and complicated procedure and should not be performed alone, this can cause similar deviations. The procedure requires the operator to perform instructions from SOP, two manuals, Acusyst maximizer display while working aseptically. This is a risk to the accuracy of performing the procedure as well as the sterility.";;;;;
45;"Validation of Aseptic Cell Culture Processes and Validation of Cleanroom Gowning for GMP production and QC team";;;;Completed;14/06/2022 07:37 AM;Thu Thi Nguyen;;23/06/2022 09:24 AM;;;;;;;;;
46;"QC SDS606 do not fulfil technical requirements for test samples and precison plus standard";;;Ida Myhrvold;Completed;14/06/2022 09:26 AM;Ida Myhrvold;;17/06/2022 02:37 PM;"NA";"It is difficult to define the exact reason for the issue. Still, since both the precision standards and samples were affected, there had to be system failure during the run. The most probable reason was that the lid on the electrode assembly probably did not fit perfectly in place before executing the run.";"No impact on product quality. The analysis was re-analyzed by SBa (SDS607) 13.jun.2022 and the results is within specification The SDS run 607 is attached.";"Lid on electrode assembly was most likely not fit perfectly in place.  ";;;;;True
47;"DIAXXX DARK MK BOX AD18278352 outside temperature threshold specifications";;;;Completed;27/06/2022 03:51 PM;Elias Veidal;;08/08/2022 10:57 AM;;;;;;;;;
48;"One additional protein band detected on SDS610 for LAW 268:29 B7897";;;Ida Myhrvold;Completed;28/06/2022 02:01 PM;Elias Veidal;;18/06/2024 04:30 PM;;"Product Law 268:29 is unstable overtime and reference batches for quality control of Law 268:29 shall be chosen from another product with same isotype. ";"No impact on product quality. The two parallel test batch B8287 (attachment 1) is of approximately same size as the parallel reference batch B7897 in the quality control data for test batch B7897 (3 respectively).";"Product Law 268:29 is degrades over time.";;;;;
49;"Several invalid runs in in-process control ELISA";;;;Completed;08/07/2022 01:00 PM;Anna Huk;;08/07/2022 03:37 PM;;;;;;;;;
50;"Precipitation observed in final product UCUS";;;Thu Thi Nguyen;Completed;27/07/2022 11:12 AM;Thu Thi Nguyen;;29/07/2022 02:03 PM;"No impact on the company reputation as precipitation was observed before product shipment. Customer is also aware that this type of phenomena can occur and will likely not file customer complains. ";"Observed precipitation is like pure antibodies (product), however reason for the precipitation can not be fully defined. This is known characteristic of this product and clone which reoccurred from time to time. ";"The product was reprocessed according to the procedure for revealing. The quality control was performed and all criteria were met. Reference attachment: SAH specificity test by ELISA_E6036_B8336    The concentration of the reprocessed product was determined.";"White precipitation was observed in several bottles of the final UCUS product (B8236). The reason of the precipitation can not be fully defined but is a known characteristic of this product and clone. ";;;;;
51;"Standard used for in-process ELISA was not an approved product";;;Suyog Basnet;Completed;29/07/2022 07:40 AM;Suyog Basnet;;12/07/2023 04:52 PM;"NA";"The standard used for ELISA was the product waiting for approval from QA for batch release.  The operator did not check if the standard sample selected was a QA-approved product.  The weekly plan is not always filled with the batch number of the standard sample to be used.  The SOP doesn't specify the specific criteria for the selection of a standard sample.  Mouse coating and conjugate were used instead for rat coating. ";"The non-conformance has a minor impact on product quality as the ELISA performed was an in-process control to check the production status of cells and if the cells are producing as expected. The production status helps to estimate the amount of product produced and decide the duration of production. No other parameters will be affected for the production by the non-conformance. The production status is usually estimated by another round of ELISA as well from different rounds of harvest. The non-conformance will, therefore won't impact the production duration or production itself.  ELISA for the sample was repeated for harvest H5 with approved batch (B7395) as a standard sample on 02/08/2022.  The use of mouse, instead of rat, coating and conjugate will not have much impact for the analysis as long as the sample and the standard are from the same clone. The concentration is measured in relation to the concentration of the standard. Since both the sample and standard were measured in the same condition, the binding capacity and other parameters were similar for both the standard and test batches. In addition, as explained earlier, it is an in-process control to check the production status and does not affect production or product quality. ";"The operator did not check if the product was approved by QA. The field for standard to be used for ELISA in weekly plan was empty and the operator took the most recent vialed product as standard control. The SOP doesn't specify the specific criteria for selection of standard sample.     ";;;;;True
52;"Kinked tubing between IC sample line and DO IN line 1A12/1/4 B8256";;;Ida Myhrvold;Completed;02/08/2022 12:48 PM;Ida Myhrvold;;18/06/2024 04:33 PM;"Na";"The kink was most likely cased when the lid on maximizer was closed after in process control on Friday week 30.";"According to standard procedure: DO (dissolved oxygen) probe are not in use, and the PRE and POST BRX DO clamps are positioned correct (See attachment 1). The positions of PRE and POST BRX DO clamps decide the flow rout of medium in the loop as marked with arrows in attachment 1. The loop is a secondary circuit and the purpose is to decide if the IC sample and DO measure (when applicable) should be measured before or after the medium has passed through the BRXs. The primary circuit is not affected by the kink and the incident has therefore no short- or long term problems for the cell culture. All of the oxygenation and pH control occur through the primary circuit  - see mail (Attachment 2) from Curt Gleiter which is the service person from supplier company Cell culture company. See attachment 3 for primary circuit.";"The kink in tubing line was caused when maximizer lid was closed.";;;;;
53;"Incorrect column materials used for purification of ABS 012-35";;;Mira Børstad;Completed;02/08/2022 02:44 PM;Øyvind Røe;;24/10/2024 04:05 PM;"No other impact on this clone.  If this mistake was done with another clone/customer there might have been a impact to product quality and/or customer not being able to use the product";"Six test productions started at the same time. Similar clone names and productions  This clone was likely purified on protein G, because operator chose the same as the four other clones and did not check the PS";"The customer was notified, and have no problem with the mix up of protein A/G. (see email attahced)  They are  concidereing purifying all clones on protein G as they see a better yield.  ";"Operator did not follow the information in the PS ";;;;;
54;"Blown fuse turned off DIA107, DIA226 and DIA023";;;Elias Veidal;Completed;08/08/2022 10:15 AM;Elias Veidal;;07/02/2024 05:44 PM;;"Power to DIA023, DIA107 and DIA226 was shut down by a circuit breaker, caused by DIA170, an orbital shaker or by overloading the circuit by the addition of DIA170. DIA170 was removed from the laboratory and placed in quarantine. To prevent other equipment to overload the circuit capacity the outlet was covered with outlet-blockers. All the affected equipment were back online after approximately 16,5 hours. The cells incubated in DIA107 belonging to projects 2022-42 and 2022-44 continued as usual, and the cells were expanded until mycoplasma testing could be performed  10.08.2022. The cells was microscoped, counted and viability was determined (see worksheet attachment for each project). The deviation had no consequences for the projects at hand. ";"Cells from projects 2022-42 and 2022-44 were monitored to investigate if the deviation was fatal. No infection or decrease in cell viability were deted. Both projects was unaffected and the deviation had no additional impact.";"Power was shut down by a circuit break caused by DIA170, an orbital shaker. either by overloading the circuit or because of a defect in the equipment.";;;;;
55;"Visual bands in control batch during SDS-PAGE of IgM";;;Suyog Basnet;Completed;08/08/2022 03:29 PM;Suyog Basnet;;31/10/2023 08:18 PM;;"The control (B7343) used during SDS deviated from the approval criteria but not the sample. It is most likely that the control has degraded over time during storage. The control is a QC approved sample (Ref. SDS490) and SOP1066 doesn't specify the criteria for control batch's approval. Thus this SDS run is actually not a non-conformance but it is recommended to start a CAPA to have a procedure regarding the use of IgM control.  ";"The deviation has no impact on the product itself.  The test batch showed no sign of degradation or impurities, as no bands were detected on the line where the test batch was loaded. The performance of the gel was correct as the IgG and precision standard, which were run simultaneously with the test batch, showed the expected pattern of protein separation.  The additional band observed for the control batch indicates that the product would degrade within three years. The Diatec doesn’t claim shelf life for that product, therefore, observed control batch degradation has no impact on the already produced product.  ";"The control used for SDS-PAGE might have degraded over time. The SOP doesn't specify what to select as a standard and there is always a chance that previously approved IgM batch as control will degrade overtime.   ";;;;;
56;"Product shipped to Bisosense AS 08.AUG.2022, not received by customer";;;Mira Børstad;Completed;17/08/2022 03:05 PM;Mira Børstad;;24/06/2025 08:56 PM;"Business - new productions will be started,extra cost on resources and raw material";"18.08.2022 MIB First mistake done by Ramberg, the courier. Shippment was misplaced and not scanned in correct system  Seccondly, Atlas did not provide tracking link to Diatec the same day or day after pick-up of shipment.  If tracking link had been provided sooner, the mistake could have been detected earlier and the product might have been saved in time. In addition, Atlas placed the shipment with Ramberg and not Bring as asked for by Diatec. Previous shipments to Biosense has been with Bring without any issues. ";"18.08.2022 MIB The shipment was packaged according to SOP5024. Enough cooling elements was used to keep product cool until thursday morning (11.08).  1 week later the package is still no located and no reccord to show how it has been stored. It is assumed by Diatec,Atlas and Biosens that it has not been stored cool and that the product quality has been impacted by this.  The product will be discarded upon return to Diatec.";"Package was misplaced and not scanned correctly during handling of shipping";;;;True;
57;"QC Elisa failed, aE11 a-C5b-9 ALP conjugated product";;;Øyvind Røe;Completed;18/08/2022 02:49 PM;Øyvind Røe;;03/06/2024 06:56 PM;"NA";"Mixup of some buffers may have occured, not possible to confirm. There is no reason to suspect the coating failure, but it is possible. Also is the possibility of defect of actual plate. ";"No impact on product quality. The analysis was repeated twice, and specification criteria were met for both retests.";"Elisa assay failure, not possible to find exact operation. The cause is operator failure or equipment failure.";;;;;True
58;"SDS619 produced a too week standard ladder to be detected by the software";;;;Completed;19/08/2022 01:15 PM;Elias Veidal;;27/08/2022 06:02 PM;;;;;;;;;True
59;"Outer medium for CL1000 was inserted only 30 minutes before inserting cells clone 581, batch B8304.";;;;Completed;22/08/2022 10:31 AM;Gro Stokke;;27/08/2022 07:12 PM;;;;;;;;;
60;"Drop in CO2 level DIA156 incubator";;;Ida Myhrvold;Completed;22/08/2022 10:21 AM;Ida Myhrvold;;23/01/2024 07:18 PM;"NA";"The incubator stopped working and did not have power due to technical failure. The instrument was kept in "Quarantine" for reparation from external service provider.  ";"The non-conformance did not have any impact on the product. The CL1000s were transferred from incubator DIA156 to DIA025 on 9.MAY.2022 before CO2 level was below the alarm limit.";"Under assessment by service personnel, technical failure in the PCB transformer was observed. ";;;;;
61;"Heat inactivaition date not documented in registrer for M220706A-M";;;;Completed;22/08/2022 02:40 PM;Yngve Ness;;27/08/2022 07:49 PM;;;;;;;;;
62;"Missing QA approval for validation of aseptic culture process";;;;Completed;22/08/2022 02:48 PM;Anna Huk;;24/08/2022 12:50 PM;;;;;;;;;
